id,name,current_date
101,MINISTERIO DESARROLLO AGRARIO(MIDAGRI),2025-05-08 08:00:34
102,CONCYTEC,2025-05-08 08:00:35
103,DIRECCIÓN TRANSPORTES HUANCAVELICA,2025-05-09 08:00:35
104,DEVIDA,2025-05-11 08:00:17
105,MUNICIPALIDAD DE CARHUAZ,2025-05-13 08:00:35
106,SENASA,2025-05-13 08:00:36
107,BCRP,2025-05-13 08:00:37
108,GOBIERNO REGIONAL DE MOQUEGUA,2025-05-14 08:00:36
109,MINISTERIO DE TRANSPORTES (MTC),2025-05-14 08:00:37
110,INGEMMET,2025-05-15 08:00:35
111,UGEL PACHITEA,2025-05-15 08:00:36
112,ZED PAITA,2025-05-15 08:00:38
113,RED DE SALUD PUERTO INCA,2025-05-15 08:00:40
114,BANCO CENTRAL DE RESERVA DEL PERÚ,2025-05-16 08:00:36
115,SUPERINTENDENCIA MERCADO VALORES(SMV),2025-05-17 08:00:32
116,MINISTERIO DE INCLUSIÓN SOCIAL (MIDIS),2025-05-17 08:00:34
117,OTASS,2025-05-18 08:00:14
118,SUNAT,2025-05-20 08:00:34
119,COFOPRI,2025-05-20 08:00:36
120,UNIVERSIDAD HERMILIO VALDIZAN,2025-05-22 08:00:39
121,INVERMET,2025-05-22 08:00:39
122,PROGRAMA SANEAMIENTO URBANO,2025-05-22 08:00:39
123,MINISTERIO DEL AMBIENTE (MINAM),2025-05-23 08:00:53
124,MINISTERIO DE EDUCACION (MINEDU),2025-05-24 08:00:34
125,MINISTERIO DE EDUCACION,2025-05-24 08:00:42
126,UNIVERSIDAD AUTÓNOMA DE TAYACAJA(UNAT),2025-05-28 08:00:35
127,ATU,2025-05-29 08:00:42
128,INSTITUTO NACIONAL DE ENFERMEDADES NEOPLÁSICAS,2025-05-30 08:00:43
129,DIRECCION DE EDUCACION(DRE) ANCASH,2025-05-30 08:00:44
130,INEN,2025-05-30 08:00:44
131,UNIVERSIDAD PEDRO RUIZ GALLO,2025-05-31 08:00:36
132,SENAMHI,2025-06-01 08:00:36
133,PROGRAMA SANEAMIENTO RURAL,2025-06-04 08:00:37
134,BIBLIOTECA NACIONAL(BNP),2025-06-04 08:00:39
135,UGEL MARAÑON,2025-06-05 08:00:31
136,INEI,2025-06-05 08:00:32
137,MUNICIPALIDAD JORGE BASADRE,2025-06-06 08:00:35
138,UGEL TACNA,2025-06-06 08:00:43
